full_duration_ms,sound_duration_ms,n_pulses,pulse_rate_hz,pulse_strength,rms,centroid_hz,bandwidth_hz,dominant_hz,flatness,class
632.55,567.4,20,400.0,0.916,0.00038,299.16,334.45,98.7,0.0,vocal
648.83,569.19,12,400.0,0.912,0.00032,247.4,326.72,94.87,0.0,vocal
643.35,638.88,32,400.0,0.867,0.00014,327.91,424.19,50.09,0.01,vocal
657.74,581.1,7,400.0,0.953,0.00025,262.63,332.74,98.09,0.0,vocal
657.23,648.31,15,400.0,0.899,0.00017,297.81,392.89,50.9,0.01,vocal
632.39,632.39,104,400.0,0.593,0.0001,483.13,535.1,50.6,0.02,vocal
648.15,648.1,43,400.0,0.771,0.00013,412.46,514.34,50.92,0.01,vocal
643.52,571.35,10,400.0,0.943,0.00034,269.14,362.91,89.26,0.0,vocal
649.0,628.07,12,400.0,0.932,0.00033,246.61,326.98,103.49,0.0,vocal
661.0,661.0,142,400.0,0.522,0.0001,491.4,504.99,51.44,0.03,vocal
695.09,695.09,81,400.0,0.7,0.00012,406.76,492.3,50.35,0.01,vocal
642.83,642.83,17,400.0,0.8,0.00018,314.94,374.68,104.23,0.01,vocal
636.5,635.97,86,400.0,0.527,0.00011,427.48,480.91,50.32,0.02,vocal
639.07,639.07,136,400.0,0.52,0.00011,466.14,513.12,50.07,0.02,vocal
638.72,638.72,90,400.0,0.579,0.00011,464.08,482.49,50.1,0.02,vocal
660.99,656.73,89,400.0,0.58,0.00011,427.11,472.25,50.25,0.02,vocal
661.68,656.55,27,400.0,0.821,0.00019,318.34,397.84,50.26,0.01,vocal
665.46,662.6,31,400.0,0.813,0.00019,350.26,401.54,51.31,0.01,vocal
620.05,619.5,35,400.0,0.71,0.00014,476.71,487.48,50.04,0.02,vocal
647.97,603.07,4,400.0,0.868,0.00021,279.87,345.04,91.2,0.0,vocal
624.68,572.14,16,400.0,0.874,0.0003,291.69,350.95,50.69,0.0,vocal
664.95,655.72,17,400.0,0.86,0.00026,261.9,324.27,50.33,0.0,vocal
615.59,615.59,118,400.0,0.476,0.00012,458.16,482.28,50.36,0.03,vocal
613.02,606.8,41,400.0,0.803,0.00015,449.75,461.27,51.09,0.02,vocal
610.62,610.34,40,400.0,0.802,0.00015,431.03,453.43,50.79,0.02,vocal
661.18,654.83,46,400.0,0.827,0.00019,341.11,418.7,50.39,0.01,vocal
652.6,651.93,50,400.0,0.794,0.00022,326.84,381.63,50.62,0.01,vocal
672.48,666.91,18,400.0,0.816,0.0002,295.3,372.68,50.98,0.01,vocal
678.99,676.68,52,400.0,0.737,0.00012,414.39,472.07,50.25,0.01,vocal
678.48,372.53,5,400.0,0.841,0.00026,615.38,546.91,51.0,0.03,vocal
651.58,651.32,7,400.0,0.786,0.00013,360.05,424.64,50.67,0.01,vocal
682.07,681.34,4,400.0,0.773,0.00015,352.43,393.57,51.37,0.01,vocal
