rank,start_s,end_s,duration_s,similarity
551,58.315,58.36,0.045,0.8975
552,179.615,179.63,0.015,0.8974
553,107.165,107.18,0.015,0.8974
554,182.7,182.705,0.005,0.8974
555,511.74,511.755,0.015,0.8973
556,725.01,725.035,0.025,0.8973
557,173.355,173.415,0.06,0.8973
558,718.795,718.86,0.065,0.8973
559,656.75,656.765,0.015,0.8972
560,86.555,86.56,0.005,0.8972
561,293.065,293.08,0.015,0.8972
562,76.335,76.37,0.035,0.8971
563,101.97,101.975,0.005,0.897
564,1156.855,1156.865,0.01,0.897
565,930.0,930.005,0.005,0.8969
566,602.14,602.145,0.005,0.8969
567,395.9,395.955,0.055,0.8969
568,141.295,141.36,0.065,0.8968
569,121.225,121.26,0.035,0.8968
570,175.51,175.545,0.035,0.8967
571,776.37,776.425,0.055,0.8967
572,97.46,97.485,0.025,0.8966
573,155.365,155.38,0.015,0.8965
574,657.35,657.405,0.055,0.8964
575,1145.385,1145.45,0.065,0.8964
576,394.18,394.195,0.015,0.8963
577,249.08,249.095,0.015,0.8963
578,154.875,154.9,0.025,0.8962
579,504.755,504.79,0.035,0.8961
580,681.405,681.46,0.055,0.8961
581,548.12,548.125,0.005,0.8961
582,131.495,131.52,0.025,0.8961
583,652.875,652.88,0.005,0.896
584,739.25,739.255,0.005,0.896
585,666.29,666.295,0.005,0.8959
586,224.445,224.455,0.01,0.8959
587,881.025,881.03,0.005,0.8959
588,88.825,88.84,0.015,0.8959
589,471.695,471.75,0.055,0.8957
590,167.09,167.095,0.005,0.8957
591,686.6,686.685,0.085,0.8956
592,473.575,473.585,0.01,0.8956
593,720.475,720.48,0.005,0.8956
594,827.53,827.535,0.005,0.8956
595,189.36,189.425,0.065,0.8956
596,903.54,903.545,0.005,0.8955
597,353.285,353.34,0.055,0.8955
598,899.145,899.21,0.065,0.8953
599,334.35,334.38,0.03,0.8953
600,877.05,877.055,0.005,0.8953
601,914.37,914.375,0.005,0.8952
602,1193.55,1193.6,0.05,0.8952
603,498.76,498.765,0.005,0.8951
604,239.435,239.445,0.01,0.895
605,524.82,524.825,0.005,0.895
606,653.175,653.24,0.065,0.8949
607,149.615,149.63,0.015,0.8949
608,643.295,643.345,0.05,0.8948
609,533.865,533.87,0.005,0.8947
610,535.22,535.27,0.05,0.8947
611,56.195,56.26,0.065,0.8947
612,894.87,894.875,0.005,0.8946
613,474.135,474.145,0.01,0.8946
614,498.47,498.475,0.005,0.8946
615,91.055,91.07,0.015,0.8945
616,463.845,463.855,0.01,0.8945
617,1184.145,1184.195,0.05,0.8945
618,94.575,94.585,0.01,0.8944
